"long","lat"
"-77.119557","38.876572"
"-77.052173","38.842643"
"-77.119644","38.923791"
"-77.056179","38.848457"
"-77.133309","38.881142"
"-77.133726","38.881133"
"-77.133596","38.881127"
"-77.133451","38.881129"
"-77.058879","38.845042"
"-77.104676","38.842187"
"-77.128388","38.866361"
"-77.100197","38.88314"
"-77.091558","38.833602"
"-77.086302","38.88819"
"-77.086302","38.88819"
"-77.086441","38.889157"
"-77.134577","38.893221"
"-77.072429","38.890312"
"-77.136109","38.921362"
"-77.161622","38.898162"
"-77.116006","38.87898"
"-77.125549","38.875258"
"-77.066778","38.864723"
"-77.066778","38.864723"
"-77.130381","38.877892"
"-77.095302","38.848282"
"-77.109141","38.900057"
"-77.127524","38.863817"
"-77.080409","38.893601"
"-77.144933","38.889436"
"-77.087764","38.845597"
"-77.087768","38.845599"
"-77.121614","38.893668"
"-77.130435","38.874225"
"-77.144488","38.903996"
"-77.101258","38.887907"
"-77.093303","38.848019"
"-77.078273","38.889362"
"-77.097378","38.885677"
"-77.06968","38.897113"
"-77.099757","38.899936"
"-77.084287","38.87242"
"-77.086302","38.88819"
"-77.086466","38.832688"
"-77.148505","38.896058"
"-77.085143","38.846491"
"-77.082805","38.857765"
"-77.120508","38.853463"
"-77.076675","38.847596"
"-77.092664","38.834295"
"-77.093675","38.885293"
"-77.123094","38.876639"
"-77.12196","38.872276"
"-77.106614","38.880211"
"-77.095383","38.846916"
"-77.110386","38.853203"
"-77.069659","38.855403"
"-77.076582","38.893445"
"-77.141919","38.879447"
"-77.100886","38.864636"
"-77.093918","38.864221"
"-77.125117","38.891872"
"-77.08665","38.88914"
"-77.104233","38.842613"
"-77.100197","38.88314"
"-77.10466","38.89598"
"-77.086469","38.854596"
"-77.069357","38.854687"
"-77.120426","38.900093"
"-77.110447","38.845479"
"-77.096901","38.841956"
"-77.106614","38.880211"
"-77.083514","38.888227"
"-77.073587","38.893006"
"-77.096396","38.860313"
"-77.157178","38.892893"
"-77.111","38.868358"
"-77.147181","38.904281"
"-77.122657","38.886017"
"-77.127807","38.897042"
"-77.097378","38.885677"
"-77.119109","38.856988"
"-77.107751","38.881023"
"-77.104903","38.853959"
"-77.156565","38.881509"
"-77.075677","38.899955"
"-77.08454","38.859737"
"-77.109438","38.88248"
"-77.109438","38.88248"
"-77.134129","38.900506"
"-77.107751","38.881023"
"-77.07297","38.846476"
"-77.07977","38.89336"
"-77.112988","38.855484"
"-77.113752","38.882921"
"-77.100197","38.88314"
"-77.104012","38.84264"
"-77.0875","38.889998"
"-77.088392","38.875989"
"-77.088392","38.875989"
"-77.088392","38.875989"
"-77.08965","38.889241"
"-77.089568","38.88916"
"-77.156412","38.896841"
"-77.128388","38.866361"
"-77.135051","38.867205"
"-77.137552","38.866985"
"-77.112001","38.883021"
"-77.163389","38.898317"
"-77.1344","38.881201"
"-77.113303","38.903399"
"-76.929349","36.661907"
"-77.071066","38.868514"
"-77.11652","38.854448"
"-77.113659","38.854065"
"-77.097205","38.845505"
"-77.066023","38.864035"
"-77.109897","38.908914"
"-77.058812","38.858349"
"-77.058078","38.86006"
"-77.072976","38.851314"
"-77.093904","38.834749"
"-77.094259","38.836852"
"-77.079102","38.890233"
"-77.079102","38.890233"
"-77.070249","38.891893"
"-77.074131","38.897439"
"-77.117806","38.856642"
"-77.098373","38.887535"
"-77.148505","38.896058"
"-77.098172","38.843533"
"-77.110205","38.893231"
"-77.128222","38.901353"
"-77.123536","38.857238"
"-77.147959","38.87936"
"-77.084797","38.860538"
"-77.130672","38.896257"
"-77.092803","38.84888"
"-77.076644","38.897911"
"-77.096904","38.848348"
"-77.098883","38.837762"
"-77.073459","38.897818"
"-77.106134","38.881242"
"-77.104928","38.882752"
"-77.104928","38.882752"
"-77.108524","38.865665"
"-77.129277","38.877791"
"-77.070096","38.891842"
"-77.086163","38.877322"
"-77.086163","38.877322"
"-77.093712","38.844379"
"-77.093344","38.879595"
"-77.10466","38.89598"
"-77.154242","38.894894"
"-77.06968","38.897113"
"-77.06968","38.897113"
"-77.101603","38.900428"
"-77.099013","38.875853"
"-77.112656","38.881125"
"-77.1505","38.895528"
"-77.108632","38.875933"
"-77.109143","38.870842"
"-77.123253","38.857674"
"-77.13631","38.898718"
"-77.119569","38.897155"
"-77.070758","38.897321"
"-77.109438","38.88248"
"-77.109438","38.88248"
"-77.112454","38.869577"
"-77.12098","38.916055"
"-77.06594","38.864878"
"-77.049164","38.857661"
"-77.139968","38.913582"
"-77.140761","38.908794"
"-77.089083","38.831599"
"-77.096569","38.844914"
"-77.110401","38.881036"
"-77.13809","38.871365"
"-77.116651","38.89937"
"-77.116937","38.903396"
"-77.106032","38.903773"
"-77.096922","38.836338"
"-77.096922","38.836338"
"-77.115859","38.897992"
"-77.095093","38.837585"
"-77.113708","38.916376"
"-77.156422","38.895199"
"-77.09168","38.843481"
"-77.112656","38.881125"
"-77.108732","38.871228"
"-77.083979","38.863164"
"-77.125329","38.881501"
"-77.145995","38.897839"
"-77.136353","38.903002"
"-77.128848","38.884807"
"-77.097378","38.885677"
"-77.135432","38.920265"
"-77.080804","38.893898"
"-77.144018","38.876945"
"-77.100073","38.884766"
"-77.116875","38.905067"
"-77.119056","38.90526"
"-77.127161","38.872203"
"-77.115891","38.901189"
"-77.162375","38.895138"
"-77.114255","38.885944"
"-77.114258","38.88598"
"-77.089692","38.88313"
"-77.116179","38.884622"
"-77.091752","38.834395"
"-77.115991","38.879837"
"-77.122842","38.889397"
"-77.080783","38.891033"
"-77.072301","38.88829"
"-77.098263","38.837279"
"-77.128567","38.920964"
"-77.090484","38.834133"
"-77.088332","38.836731"
"-77.129224","38.919074"
"-77.074137","38.897514"
"-77.074137","38.897514"
"-77.089778","38.855985"
"-77.124228","38.878358"
"-77.097205","38.845505"
"-77.119258","38.891556"
"-77.07309","38.850998"
"-77.103348","38.883441"
"-77.096191","38.845025"
"-77.122032","38.903871"
"-77.052173","38.842643"
"-77.057684","38.852247"
"-77.100197","38.88314"
"-77.12465","38.913339"
"-77.07742","38.893263"
"-77.137987","38.877128"
"-77.12622","38.89503"
"-77.124529","38.892263"
